t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
58369.74759,0.0,3.016016816961928e-13,1.436669440307957e-13,2.6726272625643e-13,False,GX 339-4,1536428757,L,0.01018087798,quiescence,0.1203,0.040100000000000004,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.8427961848690786e+28,6.142653949563597e+27,3.609403758701179e+33,1.7193273090174936e+33,3.198453945234948e+33
58382.69995,0.0,4.4248681927808025e-13,1.3154043013840917e-13,1.8853808251377287e-13,False,GX 339-4,1537547850,L,0.01018087798,quiescence,0.07854,0.02618,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.2031023471289896e+28,4.0103411570966317e+27,5.295439931554575e+33,1.574203831664965e+33,2.256320521345803e+33
58389.69665,0.0,6.108544602807951e-13,2.0575361522654792e-13,3.1128611664745124e-13,False,GX 339-4,1538151240,L,0.02239793212,quiescence,0.1059,0.0353,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.6222121028897373e+28,5.407373676299124e+27,7.310371654949276e+33,2.4623465890125136e+33,3.7253017726558216e+33
58396.6422,0.0,8.089001822879435e-13,2.0877175329689315e-13,2.9012166804031794e-13,False,GX 339-4,1538751352,L,0.02249048509,quiescence,0.08319,0.02773,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.2743326236014852e+28,4.247775412004951e+27,9.680474399029279e+33,2.4984660125983423e+33,3.472017242132632e+33
58402.68382,0.0,7.684117645382917e-13,1.7743033078878195e-13,2.274046389959738e-13,False,GX 339-4,1539273852,L,0.01037037037,quiescence,0.08241,0.027469999999999998,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.2623843191609376e+28,4.2079477305364585e+27,9.195931188303205e+33,2.1233890317021637e+33,2.721454184612106e+33
58403.6191,0.0,7.352089917655102e-13,1.799270175535798e-13,2.4690616289553654e-13,False,GX 339-4,1539354654,L,0.01036598486,quiescence,0.1344,0.0448,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",2.0587847651405163e+28,6.862615883801721e+27,8.798578586781249e+33,2.1532680116285364e+33,2.9548377429119777e+33
58410.5777,0.0,1.9682926561816964e-13,9.015549555871483e-14,1.68551605954901e-13,False,GX 339-4,1539955889,L,0.01018087845,quiescence,0.0846,0.0282,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.2959314816286288e+28,4.3197716054287633e+27,2.3555448601916142e+33,1.078931598481536e+33,2.017133315196695e+33
58418.49754,0.0,4.4421237269196565e-13,1.4236253939621948e-13,2.0151052985263433e-13,False,GX 339-4,1540640133,L,0.01027343189,quiescence,0.07761,0.02587,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.1888562918344902e+28,3.9628543061149677e+27,5.316090409837356e+33,1.7037169086893908e+33,2.4115676669224146e+33
58509.36449,0.0,6.731710647187879e-10,5.587459361857718e-11,6.37677830530823e-11,False,GX 339-4,1548489789,L,0.01036598533,peak/trough,4.16,0.2144988578058168,,0.034,0.0013,False,HS,BH,10.0,"(""uniform"", 8, 12)",6.372429034958742e+29,3.285766224632869e+28,8.056142650067786e+36,6.686765375066514e+35,7.631379060667286e+35
58515.18948,0.0,5.633324631058889e-10,5.510771395563979e-11,5.532826345610273e-11,False,GX 339-4,1548991875,L,0.01036598485,decay,4.22,0.21792487237577998,,-0.02,0.0024,False,HS,BH,10.0,"(""uniform"", 8, 12)",6.464339069116801e+29,3.3382470773247566e+28,6.741654417500735e+36,6.594989416712743e+35,6.621383573120414e+35
58523.24712,0.0,5.767026169286515e-10,3.326228088141964e-11,3.5316990364760977e-11,False,GX 339-4,1549688122,L,0.01027343188,decay,4.0,0.21002097514296045,,-0.08,0.0016,False,HS,BH,10.0,"(""uniform"", 8, 12)",6.127335610537252e+29,3.2171724998830516e+28,6.901661096478417e+36,3.98064761977373e+35,4.226543998417988e+35
58537.11945,0.0,5.556388990688674e-10,3.8483677965604094e-11,4.179202555164907e-11,False,GX 339-4,1550886965,L,0.01036598486,decay,3.42,0.17965803628003954,,-6.92078168255e-06,0.0033,False,HS,BH,10.0,"(""uniform"", 8, 12)",5.23887194700935e+29,2.7520627085446993e+28,6.649582056375753e+36,4.6055158285760505e+35,5.0014407499824635e+35
58543.10406,0.0,4.435940436485061e-10,3.152797110918111e-11,3.401243043548494e-11,False,GX 339-4,1551404170,L,0.01036598486,decay,3.03,0.15950630081598657,,0.047,0.0022,False,HS,BH,10.0,"(""uniform"", 8, 12)",4.641456724981967e+29,2.443371592737154e+28,5.3086905864642727e+36,3.773094923931155e+35,4.070421410317733e+35
58551.05809,0.0,3.9925014386417867e-10,2.4408772897325074e-11,2.570272158354339e-11,False,GX 339-4,1552093390,L,0.01036598486,decay,3.01,0.1601664446755312,,-0.02,0.0017,False,HS,BH,10.0,"(""uniform"", 8, 12)",4.610820046929281e+29,2.453483900183817e+28,4.7780070781466853e+36,2.9211082692050093e+35,3.075960961847067e+35
58560.10035,0.0,3.622988840807111e-10,2.2060753729914966e-11,2.3158227165329718e-11,False,GX 339-4,1552872672,L,0.006848954581,decay,2.85,0.15721071846410475,,,,False,HS,BH,10.0,"(""uniform"", 8, 12)",4.3657266225077924e+29,2.4082070840081386e+28,4.3357946368860336e+36,2.6401101938398533e+35,2.7714498044342963e+35
58567.10024,0.0,3.3767779023328333e-10,2.510788481362418e-11,2.6782628570130904e-11,False,GX 339-4,1553477469,L,0.006848954581,decay,2.46,0.13603165072879178,,-0.02,0.0028,False,HS,BH,10.0,"(""uniform"", 8, 12)",3.76831140048041e+29,2.0837789441767288e+28,4.041142869109229e+36,3.0047741547614635e+35,3.205198316046006e+35
58574.08638,0.0,2.7232624700993433e-10,1.9202140094417617e-11,2.0813718384775978e-11,False,GX 339-4,1554080984,L,0.006848954581,decay,2.18,0.1272177660549029,,-0.01,0.0021,False,HS,BH,10.0,"(""uniform"", 8, 12)",3.3393979077428025e+29,1.9487648706030093e+28,3.25905138864831e+36,2.2980069687314497e+35,2.4908718329439796e+35
58582.07977,0.0,2.437718310543209e-10,2.2055356967045332e-11,2.4003840580637584e-11,False,GX 339-4,1554771678,L,0.006848954123,decay,1.97,0.12130494631300077,,-0.19,0.005,False,HS,BH,10.0,"(""uniform"", 8, 12)",3.0177127881895963e+29,1.8581902931948977e+28,2.917327775908225e+36,2.6394643388142137e+35,2.8726481870976537e+35
58588.07977,0.0,1.6384756569367993e-10,1.8323183427007463e-11,2.111301398062031e-11,False,GX 339-4,1555290074,L,0.006941507556,decay,1.63,0.09854648649241636,,-0.27,0.005,False,HS,BH,10.0,"(""uniform"", 8, 12)",2.4968892612939305e+29,1.5095684899457778e+28,1.9608379374506385e+36,2.192818248256032e+35,2.526689890805189e+35
58614.93467,0.0,4.619052719905148e-11,4.618252468583249e-12,4.982610453023841e-12,False,GX 339-4,1557610250,L,0.006848954581,decay,0.9407,0.0759239832003037,,0.01,0.01,False,HS,BH,10.0,"(""uniform"", 8, 12)",1.4409961522080981e+29,1.1630293148926325e+28,5.527829339379642e+35,5.526871642422211e+34,5.962915324657838e+34
58621.91388,0.0,2.7586293307259732e-11,3.152556726190932e-12,3.3612007148835773e-12,False,GX 339-4,1558213252,L,0.006941507556,decay,0.8035,0.08245017055773747,,-0.07,0.011,False,HS,BH,10.0,"(""uniform"", 8, 12)",1.2308285407666704e+29,1.2629996653832371e+28,3.301376510630821e+35,3.772807244653991e+34,4.0225009442323073e+34
58634.90691,0.0,1.6645457825600962e-11,2.3145985639928036e-12,2.837159147407464e-12,False,GX 339-4,1559334653,L,0.006941508036,decay,0.5035,0.06998478852579323,,-0.3,0.01,False,HS,BH,10.0,"(""uniform"", 8, 12)",7.712783699763765e+28,1.0720507173250294e+28,1.9920372361035302e+35,2.769984805713182e+34,3.395356694662356e+34
58658.80788,0.0,1.3789897754832159e-11,2.2747166913785804e-12,2.770587468009582e-12,False,GX 339-4,1561401054,L,0.006941508022,peak/trough,0.3982,0.056522721979748995,,-0.35,0.024,False,HS,BH,10.0,"(""uniform"", 8, 12)",6.099762600289835e+28,8.658342179775318e+27,1.6502994448994294e+35,2.7222563646420803e+34,3.315687354461592e+34
58664.73464,0.0,1.6754183379093037e-11,2.6826649410090228e-12,3.1733841210756273e-12,False,GX 339-4,1561913155,L,0.006941508022,rise,0.4018,0.060248220720615475,,-0.08,0.019,False,HS,BH,10.0,"(""uniform"", 8, 12)",6.15490862078467e+28,9.229026707323388e+27,2.0050489149255494e+35,3.2104664890985164e+34,3.797732330269561e+34
58671.87165,0.0,2.0143447118494583e-11,3.770215984863437e-12,4.536195281642144e-12,False,GX 339-4,1562529792,L,0.006848954115,rise,0.4818,0.05967820456414553,,-1.29,0.2,False,HS,BH,10.0,"(""uniform"", 8, 12)",7.38037574289212e+28,9.141709699970392e+27,2.4106574384399583e+35,4.511988020209085e+34,5.4286700948353455e+34
58678.92249,0.0,3.0840155679854704e-11,2.933764698378786e-12,3.270865182363295e-12,False,GX 339-4,1563139019,L,0.006848954588,rise,0.5148,0.05882990396048595,,0.055,0.007,False,HS,BH,10.0,"(""uniform"", 8, 12)",7.8858809307614435e+28,9.011764137539302e+27,3.6907809400720004e+35,3.5109689276002765e+34,3.9143923260080157e+34
58686.86963,0.0,4.333037387300955e-11,5.371795110643296e-12,6.057768747916561e-12,False,GX 339-4,1563825653,L,0.006941507563,rise,0.7098,0.06816729494412992,,-0.5,0.007,False,HS,BH,10.0,"(""uniform"", 8, 12)",1.0872957040898354e+29,1.0442097344629081e+28,5.185541852538757e+35,6.428670209756752e+34,7.249605892482189e+34
58699.72388,0.0,4.0473480973151465e-11,6.8205687427456155e-12,8.241315378249718e-12,False,GX 339-4,1564936258,L,0.006848954581,rise,0.7537,0.07826952935210484,,-0.8,0.008,False,HS,BH,10.0,"(""uniform"", 8, 12)",1.1545432124154818e+29,1.1989591860478565e+28,4.843644555648299e+35,8.16248315264502e+34,9.862754920862847e+34
58705.77584,0.0,5.575607004560191e-11,7.2465390193004176e-12,8.308131319316482e-12,False,GX 339-4,1565459161,L,0.006941508022,rise,0.7796,0.06668020995767786,,-0.07,0.007,False,HS,BH,10.0,"(""uniform"", 8, 12)",1.1942177104937103e+29,1.0214300624794506e+28,6.672581122930194e+35,8.67226105197405e+34,9.942716580052288e+34
58711.8776,0.0,7.677563425629681e-11,9.04522495924441e-12,9.98415550009011e-12,False,GX 339-4,1565987538,L,0.006941507556,rise,0.9579,0.0726298218709092,,-0.15,0.007,False,HS,BH,10.0,"(""uniform"", 8, 12)",1.4673436953334085e+29,1.1125682348414984e+28,9.188087457034984e+35,1.082482988244114e+35,1.1948490534539745e+35
58718.66876,0.0,1.3923992089547495e-10,1.934870749923612e-11,2.2068927251960884e-11,False,GX 339-4,1566574272,L,0.006941507556,rise,1.41,0.12048045484641896,,-0.43,0.007,False,HS,BH,10.0,"(""uniform"", 8, 12)",2.1598858027143816e+29,1.8455604533854715e+28,1.6663471205297533e+36,2.3155473530847395e+35,2.6410883561971863e+35
58726.75162,0.0,2.391387213242891e-10,2.497927171526067e-11,2.871131381582319e-11,False,GX 339-4,1567272657,L,0.00694150757,rise,1.95,0.11298964554329746,,-0.38,0.006,False,HS,BH,10.0,"(""uniform"", 8, 12)",2.9870761101369105e+29,1.7308136968985707e+28,2.8618812559153536e+36,2.989382443480521e+35,3.436012804082103e+35
58733.66452,0.0,4.465569720636975e-10,4.377691009011555e-11,4.837997635000491e-11,False,GX 339-4,1567871158,L,0.006848954115,rise,2.59,0.14157008864869727,,-0.16,0.0033,False,HS,BH,10.0,"(""uniform"", 8, 12)",3.96744980782287e+29,2.1686186139101957e+28,5.344149291131998e+36,5.238980861610403e+35,5.789850623561234e+35
58740.74153,0.0,4.471012556918162e-10,4.930649676024821e-11,5.603928034027821e-11,False,GX 339-4,1568482488,L,0.006848954581,rise,2.96,0.1576467253069343,,-0.35,0.005,False,HS,BH,10.0,"(""uniform"", 8, 12)",4.534228351797566e+29,2.4148859846444067e+28,5.350662979524193e+36,5.9007315123029005e+35,6.70647418003646e+35
58747.61419,0.0,5.633573955946801e-10,5.608326008730573e-11,6.438137032153187e-11,False,GX 339-4,1569076254,L,0.006848954115,rise,3.27,0.1732499350649229,,-0.21,0.004,False,HS,BH,10.0,"(""uniform"", 8, 12)",5.009096861614203e+29,2.6539012416164215e+28,6.741952795872666e+36,6.711737435311932e+35,7.704809824732586e+35
58755.63859,0.0,8.542467771896052e-10,9.448477690360268e-11,1.0246695117753215e-10,False,GX 339-4,1569768359,L,0.006848954581,rise,3.8,0.19946049734220558,,-0.38,0.006,False,HS,BH,10.0,"(""uniform"", 8, 12)",5.8209688300103885e+29,3.0554035206509175e+28,1.0223157613399511e+37,1.1307420667482664e+36,1.2262683571353024e+36
58762.65596,0.0,9.92676289875037e-10,1.0735555547498104e-10,1.1569663867846694e-10,False,GX 339-4,1570375895,L,0.006848954115,rise,3.97,0.20719703183202218,,-0.25,0.0012,False,HS,BH,10.0,"(""uniform"", 8, 12)",6.081380593458223e+29,3.1739143788549255e+28,1.187980621227991e+37,1.2847724961930836e+36,1.384594012097719e+36
58768.73448,0.0,9.741070713912558e-10,9.292133197808317e-11,1.041227309017187e-10,False,GX 339-4,1570901089,L,0.006941508022,rise,3.94,0.21107970058724265,,-0.23,0.005,False,HS,BH,10.0,"(""uniform"", 8, 12)",6.0354255763791926e+29,3.2333904151743816e+28,1.1657579974632412e+37,1.1120316140778572e+36,1.2460838221103293e+36
58775.60541,0.0,1.1135064275563582e-09,1.0507605210742665e-10,1.123692733069541e-10,False,GX 339-4,1571494725,L,0.006848954596,rise,3.88,0.20294866345950643,,-0.2,0.004,False,HS,BH,10.0,"(""uniform"", 8, 12)",5.9435155422211336e+29,3.108836431815935e+28,1.3325835129156625e+37,1.2574926482275452e+36,1.344773925515416e+36
58782.58658,0.0,1.1138102910067615e-09,1.0563502088061028e-10,1.1527771793407322e-10,False,GX 339-4,1572097857,L,0.006848954581,rise,3.75,0.1969883499093284,,-0.29,0.0033,False,HS,BH,10.0,"(""uniform"", 8, 12)",5.744377134878674e+29,3.0175343281510014e+28,1.3329471600524588e+37,1.2641820803937687e+36,1.379580598044757e+36
58873.20673,0.0,1.128720033724763e-08,1.1169608826373153e-09,1.2370906772676496e-09,False,GX 339-4,1579925010,L,0.006848954581,decay,61.6,3.082090564860157,,,,False,SS,BH,10.0,"(""uniform"", 8, 12)",9.436096840227369e+30,4.7212508182421285e+29,1.3507903236266697e+38,1.3367176155782701e+37,1.480482375055804e+37
58887.17309,0.0,7.914965705604551e-09,7.956857455621562e-10,8.946201540385815e-10,False,GX 339-4,1581132962,L,0.006848954115,decay,43.5,2.1767553284648233,,,,False,SS,BH,10.0,"(""uniform"", 8, 12)",6.663477476459263e+30,3.334427609882307e+29,9.472197504713257e+37,9.522331256991958e+36,1.07063240776268e+37
58894.13512,0.0,7.105923676242622e-09,7.013891363270163e-10,7.730678107261823e-10,False,GX 339-4,1581735698,L,0.006941507556,decay,27.2,1.3619470767985078,,,,False,SS,BH,10.0,"(""uniform"", 8, 12)",4.166588215165331e+30,2.0862767058336526e+29,8.503980310000235e+37,8.393841077852527e+36,9.251652199262909e+36
58900.26135,0.0,6.680506332794811e-09,6.082966873274514e-10,6.799528207268532e-10,False,GX 339-4,1582262704,L,0.006848954115,decay,18.7,0.937147032220665,,,,False,SS,BH,10.0,"(""uniform"", 8, 12)",2.864529397926165e+30,1.4355535957087454e+29,7.994864130733062e+37,7.279761628971363e+36,8.13730299204082e+36
