t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,blockID,band,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,Fr_uplim_bool,state,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
58369.74759,0.0,3.0327424309932203e-13,1.414458861367701e-13,1.9614311629720596e-13,False,GX 339-4,1536428757,L,0.01018087798,quiescence,0.1203,0.040100000000000004,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.8427961848690786e+28,6.142653949563597e+27,3.629420057619546e+33,1.692746904472322e+33,2.3473334008781636e+33
58382.69995,0.0,4.4708081441987117e-13,1.2718205540630495e-13,1.4716208417929317e-13,False,GX 339-4,1537547850,L,0.01018087798,quiescence,0.07854,0.02618,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.2031023471289896e+28,4.0103411570966317e+27,5.350418349575924e+33,1.522045189672606e+33,1.7611552322512965e+33
58389.69665,0.0,6.122189855680961e-13,2.0483798323984962e-13,2.5234256689144793e-13,False,GX 339-4,1538151240,L,0.02239793212,quiescence,0.1059,0.0353,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.6222121028897373e+28,5.407373676299124e+27,7.326701546324975e+33,2.451388806828444e+33,3.0198976487663035e+33
58396.6422,0.0,8.070723243383539e-13,2.0456962477928756e-13,2.3502128654063394e-13,False,GX 339-4,1538751352,L,0.02249048509,quiescence,0.08319,0.02773,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.2743326236014852e+28,4.247775412004951e+27,9.658599596088802e+33,2.4481772397351028e+33,2.812606051278722e+33
58402.68382,0.0,7.387073881237961e-13,1.624959589630102e-13,1.788366575474689e-13,False,GX 339-4,1539273852,L,0.01037037037,quiescence,0.08241,0.027469999999999998,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.2623843191609376e+28,4.2079477305364585e+27,8.840445478550583e+33,1.9446626482860398e+33,2.1402191801954333e+33
58403.6191,0.0,7.28654567953235e-13,1.7774252887317856e-13,2.0136466855464697e-13,False,GX 339-4,1539354654,L,0.01036598486,quiescence,0.1344,0.0448,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",2.0587847651405163e+28,6.862615883801721e+27,8.720138832032212e+33,2.1271252474054154e+33,2.4098220787869517e+33
58410.5777,0.0,2.0396807446140595e-13,9.318504797592081e-14,1.2518713399819677e-13,False,GX 339-4,1539955889,L,0.01018087845,quiescence,0.0846,0.0282,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.2959314816286288e+28,4.3197716054287633e+27,2.4409782149611065e+33,1.1151876227196911e+33,1.498171062750488e+33
58418.49754,0.0,4.769296400408966e-13,1.3353144673032676e-13,1.538045028313958e-13,False,GX 339-4,1540640133,L,0.01027343189,quiescence,0.07761,0.02587,,,,True,QS,BH,10.0,"(""uniform"", 8, 12)",1.1888562918344902e+28,3.9628543061149677e+27,5.707632748326756e+33,1.5980312278853307e+33,1.8406480610542758e+33
58509.36449,0.0,6.727813571016742e-10,5.0019652755373146e-11,4.8644916088784365e-11,False,GX 339-4,1548489789,L,0.01036598533,peak/trough,4.16,0.2144988578058168,,0.034,0.0013,False,HS,BH,10.0,"(""uniform"", 8, 12)",6.372429034958742e+29,3.285766224632869e+28,8.051478842723961e+36,5.986078116302845e+35,5.821557160593847e+35
58515.18948,0.0,5.746381046584206e-10,4.33976146915642e-11,4.217295043039229e-11,False,GX 339-4,1548991875,L,0.01036598485,decay,4.22,0.21792487237577998,,-0.02,0.0024,False,HS,BH,10.0,"(""uniform"", 8, 12)",6.464339069116801e+29,3.3382470773247566e+28,6.876954144228853e+36,5.1935888654686716e+35,5.047027753389941e+35
58523.24712,0.0,5.760992628342866e-10,3.1328135748523284e-11,3.070313725465417e-11,False,GX 339-4,1549688122,L,0.01027343188,decay,4.0,0.21002097514296045,,-0.08,0.0016,False,HS,BH,10.0,"(""uniform"", 8, 12)",6.127335610537252e+29,3.2171724998830516e+28,6.894440485095282e+36,3.7491797223373404e+35,3.674383325305771e+35
58537.11945,0.0,5.453705965842891e-10,3.502170964839015e-11,3.469801314825936e-11,False,GX 339-4,1550886965,L,0.01036598486,decay,3.42,0.17965803628003954,,-6.92078168255e-06,0.0033,False,HS,BH,10.0,"(""uniform"", 8, 12)",5.23887194700935e+29,2.7520627085446993e+28,6.526696635529025e+36,4.191206419345254e+35,4.1524681948870974e+35
58543.10406,0.0,4.4265185022610205e-10,2.9706540468770374e-11,2.9467461813855564e-11,False,GX 339-4,1551404170,L,0.01036598486,decay,3.03,0.15950630081598657,,0.047,0.0022,False,HS,BH,10.0,"(""uniform"", 8, 12)",4.641456724981967e+29,2.443371592737154e+28,5.297414931563667e+36,3.555116079690678e+35,3.526504455550466e+35
58551.05809,0.0,3.969192753385323e-10,2.2602552261976402e-11,2.2144505533467385e-11,False,GX 339-4,1552093390,L,0.01036598486,decay,3.01,0.1601664446755312,,-0.02,0.0017,False,HS,BH,10.0,"(""uniform"", 8, 12)",4.610820046929281e+29,2.453483900183817e+28,4.750112520098495e+36,2.7049496750749477e+35,2.6501331510342566e+35
58560.10035,0.0,3.6239009683360696e-10,2.0453777493425818e-11,2.0051815911255527e-11,False,GX 339-4,1552872672,L,0.006848954581,decay,2.85,0.15721071846410475,,,,False,HS,BH,10.0,"(""uniform"", 8, 12)",4.3657266225077924e+29,2.4082070840081386e+28,4.336886221161334e+36,2.447796078231902e+35,2.399691517362763e+35
58567.10024,0.0,3.336391388336706e-10,2.1712855537566504e-11,2.1686043008416745e-11,False,GX 339-4,1553477469,L,0.006848954581,decay,2.46,0.13603165072879178,,-0.02,0.0028,False,HS,BH,10.0,"(""uniform"", 8, 12)",3.76831140048041e+29,2.0837789441767288e+28,3.992810500868227e+36,2.598475643394184e+35,2.5952668667405145e+35
